vel_media,vel_minima,pct_baixa_vel,pct_full_throttle,pct_freando,zonas_freio,pico_desac,pico_acel,circuito,ano,piloto
206.83333333333334,76.24000000000001,21.75925925925926,59.25925925925925,19.90740740740741,10,-32.06018518518537,13.888888888889186,Baku,2018,SIR
206.51157407407408,79.31,21.064814814814813,59.72222222222222,20.833333333333336,13,-28.58796296296304,13.888888888888651,Baku,2018,ALO
207.04408352668213,79.3,20.417633410672853,61.48491879350348,19.953596287703014,12,-31.736111111111107,13.888888888889186,Baku,2018,LEC
207.22969837587007,78.6,21.34570765661253,60.092807424593964,20.417633410672853,11,-34.72222222222194,13.888888888889097,Baku,2018,MAG
205.42528735632183,79.02,21.149425287356323,54.252873563218394,19.770114942528735,12,-33.95833333333337,13.888888888889186,Baku,2018,VAN
205.65437788018434,78.99,20.276497695852534,61.05990783410138,18.89400921658986,11,-31.66666666666702,15.046296296296171,Baku,2018,GAS
203.8883826879271,79.0,22.55125284738041,59.453302961275625,17.995444191343964,10,-31.25000000000003,13.888888888889186,Baku,2018,ERI
183.24081632653062,69.78,30.0,43.06122448979592,19.79591836734694,10,-25.601851851852004,12.731481481481472,Baku,2018,HAR
213.78365384615384,78.3,17.307692307692307,64.42307692307693,17.307692307692307,11,-37.037037037037074,15.109251510924878,Baku,2019,BOT
213.46153846153845,82.75,18.269230769230766,61.057692307692314,17.78846153846154,12,-28.935185185185162,16.041666666666565,Baku,2019,HAM
213.0,80.45,17.78846153846154,62.74038461538461,18.509615384615387,12,-34.56018518518501,16.1574074074077,Baku,2019,VET
212.67541766109784,82.53999999999999,15.990453460620524,63.24582338902148,17.899761336515514,13,-35.879629629629555,14.849537037037301,Baku,2019,VER
211.6579572446556,79.2,19.002375296912113,61.04513064133017,19.95249406175772,11,-31.25000000000003,13.888888888888877,Baku,2019,PER
211.52619047619046,81.76,17.38095238095238,63.095238095238095,17.857142857142858,11,-34.72222222222219,13.888888888889186,Baku,2019,KVY
210.9477434679335,80.4,18.28978622327791,62.23277909738717,17.577197149643705,11,-31.03009259259242,16.739417989418,Baku,2019,NOR
211.01187648456056,77.0,19.95249406175772,58.66983372921615,20.19002375296912,11,-32.407407407407405,15.046296296296086,Baku,2019,GIO
211.5250596658711,76.72,19.331742243436754,60.859188544152744,20.047732696897373,12,-33.56481481481478,16.20370370370405,Baku,2019,LEC
210.7183770883055,80.36,20.286396181384248,60.14319809069213,18.377088305489263,10,-32.21064814814788,15.046296296296283,Baku,2019,SAI
209.5744680851064,81.66,18.67612293144208,60.99290780141844,17.73049645390071,11,-32.16435185185241,13.888888888889143,Baku,2019,RIC
210.19477434679334,77.8,19.47743467933492,60.09501187648456,19.239904988123516,10,-32.18750000000002,13.888888888889127,Baku,2019,ALB
210.083135391924,77.8,19.95249406175772,60.09501187648456,19.71496437054632,11,-34.9999999999997,13.888888888889186,Baku,2019,MAG
209.281990521327,81.0,20.61611374407583,60.426540284360186,18.246445497630333,12,-35.052910052909816,15.046296296295726,Baku,2019,STR
207.84976525821597,78.5,21.830985915492956,59.154929577464785,18.07511737089202,11,-34.722222222222086,17.36111111111097,Baku,2019,GRO
207.91079812206573,79.75,21.12676056338028,61.03286384976526,19.014084507042252,11,-27.77777777777796,13.888888888889186,Baku,2019,HUL
204.28240740740742,78.17,22.22222222222222,60.64814814814815,20.833333333333336,11,-33.56481481481553,13.888888888889186,Baku,2019,RUS
203.7816091954023,76.36,21.379310344827587,60.91954022988506,20.0,12,-29.056252905625197,13.888888888888815,Baku,2019,KUB
210.78333333333333,80.19,20.476190476190474,59.04761904761905,19.28571428571429,11,-31.24007936507938,13.888888888889154,Baku,2019,RAI
211.8133971291866,79.51,17.22488038277512,60.28708133971292,16.028708133971293,10,-34.72222222222245,14.86111111111135,Baku,2019,GAS
211.63571428571427,82.14,16.904761904761905,61.904761904761905,18.095238095238095,14,-34.72222222222091,14.983863531581395,Baku,2021,LEC
210.9245283018868,80.46000000000001,18.632075471698112,61.79245283018868,18.39622641509434,12,-37.17592592592591,15.046296296296617,Baku,2021,HAM
211.09478672985782,81.63,17.298578199052134,62.08530805687204,19.66824644549763,12,-33.56481481481503,13.888888888888959,Baku,2021,VER
210.98345153664303,81.44,17.96690307328605,62.88416075650118,16.78486997635934,11,-34.50865876336593,14.803240740740664,Baku,2021,GAS
210.67298578199052,81.47,17.77251184834123,62.08530805687204,18.009478672985782,12,-31.38075313807568,15.033809743353217,Baku,2021,SAI
210.63593380614657,81.22,17.96690307328605,62.4113475177305,17.02127659574468,12,-33.07870370370377,15.046296296296617,Baku,2021,NOR
210.9078014184397,79.66,17.494089834515368,61.702127659574465,19.62174940898345,11,-32.40740740740744,15.046296296296617,Baku,2021,PER
210.7867298578199,82.63,18.009478672985782,63.03317535545023,16.824644549763033,11,-37.037037037037,13.888888888889124,Baku,2021,TSU
209.96713615023475,80.5,19.953051643192488,63.14553990610329,18.30985915492958,10,-30.092592592593235,13.888888888889186,Baku,2021,ALO
209.92216981132074,79.92,18.867924528301888,61.79245283018868,18.160377358490564,11,-33.564814814814845,15.046296296296568,Baku,2021,BOT
210.06103286384976,82.5,19.483568075117372,60.093896713615024,19.483568075117372,11,-33.05555555555557,15.046296296296537,Baku,2021,VET
209.06338028169014,84.0,18.544600938967136,59.624413145539904,19.248826291079812,13,-30.092592592592567,15.046296296296065,Baku,2021,OCO
209.95539906103286,79.0,18.779342723004692,59.859154929577464,18.07511737089202,10,-29.814814814815247,13.888888888889186,Baku,2021,RIC
209.32159624413146,81.5,19.014084507042252,60.093896713615024,17.84037558685446,12,-32.74790919952237,13.888888888889186,Baku,2021,RAI
208.7775175644028,79.03999999999999,19.437939110070257,59.95316159250586,18.735362997658083,10,-38.19444444444413,15.030688105117477,Baku,2021,RUS
0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,Baku,2021,LAT
206.18055555555554,78.62,21.296296296296298,57.17592592592593,20.833333333333336,11,-34.83796296296319,15.046296296296171,Baku,2021,MSC
206.2309468822171,80.64,21.709006928406467,58.429561200923786,21.016166281755197,11,-26.6203703703704,13.888888888889186,Baku,2021,MAZ
210.98469387755102,89.37,18.367346938775512,63.01020408163265,19.897959183673468,14,-33.85416666666589,14.032898105478932,Baku,2023,LEC
213.05641025641026,89.67,17.435897435897434,62.30769230769231,21.53846153846154,12,-32.54300325430071,13.888888888888749,Baku,2023,VER
215.06598984771574,85.86,16.49746192893401,64.72081218274111,18.274111675126903,11,-31.3055555555549,14.93428912783733,Baku,2023,PER
214.23979591836735,85.64,18.112244897959183,62.5,20.66326530612245,12,-38.8888888888889,14.880952380952415,Baku,2023,SAI
212.55329949238578,87.72,17.512690355329948,61.16751269035533,17.766497461928935,12,-27.777777777777754,13.981481481481762,Baku,2023,HAM
212.06361323155215,82.6,18.06615776081425,62.34096692111959,20.35623409669211,12,-34.72222222222219,14.066771269177234,Baku,2023,ALO
208.8042328042328,83.77,18.51851851851852,60.317460317460316,18.51851851851852,10,-31.203703703703734,13.888888888888998,Baku,2023,NOR
211.4920634920635,82.77,17.724867724867725,62.43386243386243,19.576719576719576,10,-34.72222222222245,14.714678118229592,Baku,2023,TSU
209.54285714285714,80.36,17.92207792207792,62.5974025974026,20.51948051948052,14,-30.132936507936428,15.625000000000334,Baku,2023,STR
210.4421593830334,85.4,18.50899742930591,58.09768637532133,19.28020565552699,11,-34.72222222222173,13.88888888888894,Baku,2023,PIA
209.0131926121372,82.56,19.261213720316622,62.26912928759894,18.46965699208443,11,-30.75396825396813,13.888888888888834,Baku,2023,RUS
210.13730569948186,82.25,17.357512953367877,61.398963730569946,20.984455958549223,13,-31.166666666666675,13.888888888888937,Baku,2023,OCO
208.31865284974094,81.55,19.170984455958546,58.80829015544041,20.984455958549223,12,-30.555555555555532,14.880952380952321,Baku,2023,ALB
210.4296875,88.98,19.791666666666664,62.760416666666664,18.75,11,-35.138888888888914,15.277777777778105,Baku,2023,BOT
208.61197916666666,83.32,20.572916666666664,60.15625,18.75,12,-37.87808641975313,14.0850083752095,Baku,2023,SAR
206.12144702842377,83.58,21.705426356589147,59.9483204134367,18.863049095607234,12,-29.166666666666565,15.461033950617297,Baku,2023,ZHO
205.6135770234987,81.28,22.45430809399478,59.530026109660575,19.321148825065272,12,-30.55555555555621,14.733796296296312,Baku,2023,HUL
209.18798955613576,91.0,18.27676240208877,62.40208877284596,19.5822454308094,11,-30.092592592592567,15.277777777777562,Baku,2023,MAG
206.46564885496184,78.92,21.62849872773537,59.03307888040712,21.374045801526716,11,-27.77777777777738,13.186728395061737,Baku,2023,GAS
187.38262910798122,72.0,29.107981220657276,47.652582159624416,22.065727699530516,10,-23.358585858585982,12.499999999999822,Baku,2023,DEV
209.7719298245614,79.98,17.543859649122805,60.40100250626567,20.80200501253133,14,-33.33333333333331,13.888888888888937,Baku,2024,LEC
212.16582914572865,75.97,18.090452261306535,60.30150753768844,18.84422110552764,10,-35.59027777777775,13.888888888889184,Baku,2024,PIA
208.1453634085213,77.96,18.796992481203006,59.3984962406015,22.05513784461153,12,-31.30208333333398,16.203703703703702,Baku,2024,SAI
209.3873417721519,76.88,18.9873417721519,62.53164556962025,18.734177215189874,11,-34.72222222222235,15.062500000000282,Baku,2024,PER
210.89141414141415,80.6,18.68686868686869,60.1010101010101,19.696969696969695,12,-38.1944444444447,16.231481481481794,Baku,2024,RUS
209.1105527638191,81.94,18.592964824120603,61.30653266331658,20.85427135678392,12,-38.5995370370371,15.277777777777573,Baku,2024,VER
210.5,76.99,21.75,60.75000000000001,21.25,11,-30.28935185185183,14.756944444444432,Baku,2024,HAM
206.78227848101267,75.7,22.278481012658226,58.734177215189874,23.037974683544306,11,-33.64583333333337,13.942901234568174,Baku,2024,ALO
209.21761658031087,75.4,18.134715025906736,57.2538860103627,22.279792746113987,11,-31.74603174603162,14.944444444444347,Baku,2024,COL
207.87146529562983,76.76,20.308483290488432,58.86889460154242,20.822622107969153,12,-30.55555555555621,14.643518518518604,Baku,2024,ALB
207.88431876606683,79.76,20.308483290488432,58.86889460154242,20.822622107969153,11,-39.502314814814824,15.277777777777597,Baku,2024,BEA
