ano,round,pais,local,evento,formato,data,circuito,incluir
2023,17,Qatar,Lusail,Qatar Grand Prix,sprint_shootout,2023-10-08,Lusail,True
2024,23,Qatar,Lusail,Qatar Grand Prix,sprint_qualifying,2024-12-01,Lusail,True
2025,23,Qatar,Lusail,Qatar Grand Prix,sprint_qualifying,2025-11-30,Lusail,True
2018,1,Australia,Melbourne,Australian Grand Prix,conventional,2018-03-25,Melbourne,True
2019,1,Australia,Melbourne,Australian Grand Prix,conventional,2019-03-17,Melbourne,True
2022,3,Australia,Melbourne,Australian Grand Prix,conventional,2022-04-10,Melbourne,True
2023,3,Australia,Melbourne,Australian Grand Prix,conventional,2023-04-02,Melbourne,True
2024,3,Australia,Melbourne,Australian Grand Prix,conventional,2024-03-24,Melbourne,True
2025,1,Australia,Melbourne,Australian Grand Prix,conventional,2025-03-16,Melbourne,True
2018,19,Mexico,Mexico City,Mexican Grand Prix,conventional,2018-10-28,Mexico City,True
2019,18,Mexico,Mexico City,Mexican Grand Prix,conventional,2019-10-27,Mexico City,True
2021,18,Mexico,Mexico City,Mexico City Grand Prix,conventional,2021-11-07,Mexico City,True
2022,20,Mexico,Mexico City,Mexico City Grand Prix,conventional,2022-10-30,Mexico City,True
2023,19,Mexico,Mexico City,Mexico City Grand Prix,conventional,2023-10-29,Mexico City,True
2024,20,Mexico,Mexico City,Mexico City Grand Prix,conventional,2024-10-27,Mexico City,True
2025,20,Mexico,Mexico City,Mexico City Grand Prix,conventional,2025-10-26,Mexico City,True
2022,5,United States,Miami,Miami Grand Prix,conventional,2022-05-08,Miami,True
2023,5,United States,Miami,Miami Grand Prix,conventional,2023-05-07,Miami,True
2024,6,United States,Miami,Miami Grand Prix,sprint_qualifying,2024-05-05,Miami,True
2025,6,United States,Miami Gardens,Miami Grand Prix,sprint_qualifying,2025-05-04,Miami,True
2018,6,Monaco,Monte Carlo,Monaco Grand Prix,conventional,2018-05-27,Monaco,True
2019,6,Monaco,Monte Carlo,Monaco Grand Prix,conventional,2019-05-26,Monaco,True
2021,5,Monaco,Monte Carlo,Monaco Grand Prix,conventional,2021-05-23,Monaco,True
2022,7,Monaco,Monaco,Monaco Grand Prix,conventional,2022-05-29,Monaco,True
2023,6,Monaco,Monaco,Monaco Grand Prix,conventional,2023-05-28,Monaco,True
2024,8,Monaco,Monaco,Monaco Grand Prix,conventional,2024-05-26,Monaco,True
2025,8,Monaco,Monaco,Monaco Grand Prix,conventional,2025-05-25,Monaco,True
2018,7,Canada,Montréal,Canadian Grand Prix,conventional,2018-06-10,Montréal,True
2019,7,Canada,Montréal,Canadian Grand Prix,conventional,2019-06-09,Montréal,True
2022,9,Canada,Montréal,Canadian Grand Prix,conventional,2022-06-19,Montréal,True
2023,8,Canada,Montréal,Canadian Grand Prix,conventional,2023-06-18,Montréal,True
2024,9,Canada,Montréal,Canadian Grand Prix,conventional,2024-06-09,Montréal,True
2025,10,Canada,Montréal,Canadian Grand Prix,conventional,2025-06-15,Montréal,True
2018,14,Italy,Monza,Italian Grand Prix,conventional,2018-09-02,Monza,True
2019,14,Italy,Monza,Italian Grand Prix,conventional,2019-09-08,Monza,True
2020,8,Italy,Monza,Italian Grand Prix,conventional,2020-09-06,Monza,True
2021,14,Italy,Monza,Italian Grand Prix,sprint,2021-09-12,Monza,True
2022,16,Italy,Monza,Italian Grand Prix,conventional,2022-09-11,Monza,True
2023,14,Italy,Monza,Italian Grand Prix,conventional,2023-09-03,Monza,True
2024,16,Italy,Monza,Italian Grand Prix,conventional,2024-09-01,Monza,True
2025,16,Italy,Monza,Italian Grand Prix,conventional,2025-09-07,Monza,True
2018,2,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2018-04-08,Sakhir,True
2019,2,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2019-03-31,Sakhir,True
2020,15,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2020-11-29,Sakhir,True
2021,1,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2021-03-28,Sakhir,True
2022,1,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2022-03-20,Sakhir,True
2023,1,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2023-03-05,Sakhir,True
2024,1,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2024-03-02,Sakhir,True
2025,4,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2025-04-13,Sakhir,True
2018,3,China,Shanghai,Chinese Grand Prix,conventional,2018-04-15,Shanghai,True
2019,3,China,Shanghai,Chinese Grand Prix,conventional,2019-04-14,Shanghai,True
2024,5,China,Shanghai,Chinese Grand Prix,sprint_qualifying,2024-04-21,Shanghai,True
2025,2,China,Shanghai,Chinese Grand Prix,sprint_qualifying,2025-03-23,Shanghai,True
2018,10,Great Britain,Silverstone,British Grand Prix,conventional,2018-07-08,Silverstone,True
2019,10,Great Britain,Silverstone,British Grand Prix,conventional,2019-07-14,Silverstone,True
2020,4,Great Britain,Silverstone,British Grand Prix,conventional,2020-08-02,Silverstone,True
2020,5,Great Britain,Silverstone,70th Anniversary Grand Prix,conventional,2020-08-09,Silverstone,True
2021,10,Great Britain,Silverstone,British Grand Prix,sprint,2021-07-18,Silverstone,True
2022,10,Great Britain,Silverstone,British Grand Prix,conventional,2022-07-03,Silverstone,True
2023,10,Great Britain,Silverstone,British Grand Prix,conventional,2023-07-09,Silverstone,True
2024,12,United Kingdom,Silverstone,British Grand Prix,conventional,2024-07-07,Silverstone,True
2025,12,United Kingdom,Silverstone,British Grand Prix,conventional,2025-07-06,Silverstone,True
2018,15,Singapore,Singapore,Singapore Grand Prix,conventional,2018-09-16,Singapore,True
2019,15,Singapore,Singapore,Singapore Grand Prix,conventional,2019-09-22,Singapore,True
2022,17,Singapore,Marina Bay,Singapore Grand Prix,conventional,2022-10-02,Singapore,True
2023,15,Singapore,Marina Bay,Singapore Grand Prix,conventional,2023-09-17,Singapore,True
2024,18,Singapore,Marina Bay,Singapore Grand Prix,conventional,2024-09-22,Singapore,True
2025,18,Singapore,Marina Bay,Singapore Grand Prix,conventional,2025-10-05,Singapore,True
2018,16,Russia,Sochi,Russian Grand Prix,conventional,2018-09-30,Sochi,True
2019,16,Russia,Sochi,Russian Grand Prix,conventional,2019-09-29,Sochi,True
2020,10,Russia,Sochi,Russian Grand Prix,conventional,2020-09-27,Sochi,True
2021,15,Russia,Sochi,Russian Grand Prix,conventional,2021-09-26,Sochi,True
2018,13,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2018-08-26,Spa-Francorchamps,True
2019,13,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2019-09-01,Spa-Francorchamps,True
2020,7,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2020-08-30,Spa-Francorchamps,True
2021,12,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2021-08-29,Spa-Francorchamps,True
2022,14,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2022-08-28,Spa-Francorchamps,True
2023,12,Belgium,Spa-Francorchamps,Belgian Grand Prix,sprint_shootout,2023-07-30,Spa-Francorchamps,True
2024,14,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2024-07-28,Spa-Francorchamps,True
2025,13,Belgium,Spa-Francorchamps,Belgian Grand Prix,sprint_qualifying,2025-07-27,Spa-Francorchamps,True
2018,9,Austria,Spielberg,Austrian Grand Prix,conventional,2018-07-01,Spielberg,True
2019,9,Austria,Spielberg,Austrian Grand Prix,conventional,2019-06-30,Spielberg,True
2020,1,Austria,Spielberg,Austrian Grand Prix,conventional,2020-07-05,Spielberg,True
2020,2,Austria,Spielberg,Styrian Grand Prix,conventional,2020-07-12,Spielberg,True
2021,8,Austria,Spielberg,Styrian Grand Prix,conventional,2021-06-27,Spielberg,True
2021,9,Austria,Spielberg,Austrian Grand Prix,conventional,2021-07-04,Spielberg,True
2022,11,Austria,Spielberg,Austrian Grand Prix,sprint,2022-07-10,Spielberg,True
2023,9,Austria,Spielberg,Austrian Grand Prix,sprint_shootout,2023-07-02,Spielberg,True
2024,11,Austria,Spielberg,Austrian Grand Prix,sprint_qualifying,2024-06-30,Spielberg,True
2025,11,Austria,Spielberg,Austrian Grand Prix,conventional,2025-06-29,Spielberg,True
2018,17,Japan,Suzuka,Japanese Grand Prix,conventional,2018-10-07,Suzuka,True
2019,17,Japan,Suzuka,Japanese Grand Prix,conventional,2019-10-13,Suzuka,True
2022,18,Japan,Suzuka,Japanese Grand Prix,conventional,2022-10-09,Suzuka,True
2023,16,Japan,Suzuka,Japanese Grand Prix,conventional,2023-09-24,Suzuka,True
2024,4,Japan,Suzuka,Japanese Grand Prix,conventional,2024-04-07,Suzuka,True
2025,3,Japan,Suzuka,Japanese Grand Prix,conventional,2025-04-06,Suzuka,True
2018,20,Brazil,São Paulo,Brazilian Grand Prix,conventional,2018-11-11,São Paulo,True
2019,20,Brazil,São Paulo,Brazilian Grand Prix,conventional,2019-11-17,São Paulo,True
2021,19,Brazil,São Paulo,São Paulo Grand Prix,sprint,2021-11-14,São Paulo,True
2022,21,Brazil,São Paulo,São Paulo Grand Prix,sprint,2022-11-13,São Paulo,True
2023,20,Brazil,São Paulo,São Paulo Grand Prix,sprint_shootout,2023-11-05,São Paulo,True
2024,21,Brazil,São Paulo,São Paulo Grand Prix,sprint_qualifying,2024-11-03,São Paulo,True
2025,21,Brazil,São Paulo,São Paulo Grand Prix,sprint_qualifying,2025-11-09,São Paulo,True
2018,21,United Arab Emirates,Yas Marina,Abu Dhabi Grand Prix,conventional,2018-11-25,Yas Island,True
2019,21,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2019-12-01,Yas Island,True
2020,17,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2020-12-13,Yas Island,True
2021,22,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2021-12-12,Yas Island,True
2022,22,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2022-11-20,Yas Island,True
2023,22,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2023-11-26,Yas Island,True
2024,24,United Arab Emirates,Yas Island,Abu Dhabi Grand Prix,conventional,2024-12-08,Yas Island,True
2025,24,United Arab Emirates,Yas Island,Abu Dhabi Grand Prix,conventional,2025-12-07,Yas Island,True
2021,13,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2021-09-05,Zandvoort,True
2022,15,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2022-09-04,Zandvoort,True
2023,13,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2023-08-27,Zandvoort,True
2024,15,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2024-08-25,Zandvoort,True
2025,15,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2025-08-31,Zandvoort,True
